Unit	N0	N1	Pop	Pop_Cent_Lon	Pop_Cent_Lat	Area_Cent_Lon	Area_Cent_Lat
0	Spain	Andalucía	7470336.0	-4.452830188679258	37.2245293051566	-4.666666666666657	36.69166666666666
1	Spain	Aragón	1272933.0	-0.8924625525488636	41.65412650664681	-0.7833333333333314	41.533333333333324
2	Spain	Cantabria	533141.0	-3.7987910189982586	43.3990280347631	-4.083333333333343	42.158333333333324
3	Spain	Castilla-La Mancha	1927429.0	-2.8844907407407447	39.49007304116865	-3.308333333333337	38.74166666666666
4	Spain	Castilla y León	2497698.0	-4.71922733761599	41.663192190769465	-4.258333333333326	40.783333333333324
5	Spain	Cataluña	6498009.0	2.2066881423531015	41.454393502545734	1.8000000000000114	40.133333333333326
6	Spain	Ceuta y Melilla	114812.0	-2.9516271442986692	35.30681065956938	-5.341666666666669	35.81666666666666
7	Spain	Comunidad de Madrid	5899101.0	-3.6602873160476577	40.41886717910282	-3.76666666666668	39.86666666666666
8	Spain	Comunidad Foral de Navarra	598282.0	-1.6649415264669756	42.80463906526641	-1.6166666666666742	42.633333333333326
9	Spain	Comunidad Valenciana	4301440.0	-0.4521879021878874	39.35392734992333	-0.9250000000000114	39.04166666666666
10	Spain	Extremadura	1080694.0	-5.871528888888889	38.95137967687074	-6.0	38.10833333333333
11	Spain	Galicia	2609382.0	-8.506584362139932	42.705181623931615	-7.958333333333343	41.77499999999999
12	Spain	Islas Baleares	877117.0	2.6576439972241417	39.58280534432445	2.89166666666668	38.99999999999999
13	Spain	Islas Canarias	1695027.0	-15.429830339321342	28.154156968390794	-16.48333333333332	27.52499999999999
14	Spain	La Rioja	295505.0	-2.4420516352334403	42.45174696579624	-2.5	41.69166666666666
15	Spain	País Vasco	2119664.0	-2.928799343279337	43.264351149137745	-2.583333333333343	42.783333333333324
16	Spain	Principado de Asturias	1061309.0	-5.790897908979076	43.41812055253243	-5.800000000000011	42.533333333333324
17	Spain	Región de Murcia	1284692.0	-1.2006404751681714	37.95981265857763	-1.6333333333333258	37.56666666666666
18	France	Auvergne-Rhône-Alpes	7349355.0	4.850983436852999	45.71707865143578	4.73333333333332	42.39166666666666
19	France	Bourgogne-Franche-Comté	2776479.0	6.016955128205126	47.25778515544574	4.958333333333343	45.283333333333324
20	France	Bretagne	3015348.0	-1.6993580426356516	48.13448610955876	-2.708333333333343	48.14166666666666
21	France	Centre-Val de Loire	2509193.0	1.3353951081844002	47.58237061983118	1.5500000000000114	46.60833333333333
22	France	Corse	249181.0	8.9375	42.165913757700196	9.066666666666663	41.574999999999996
23	France	Grand Est	5483379.0	6.180176140912749	48.689847651357816	5.691666666666663	44.99999999999999
24	France	Hauts-de-France	5911477.0	3.1281345565749348	50.391646672733785	2.875	48.908333333333324
25	France	Île-de-France	1.1481273E7	2.384012139002266	48.85629245067616	2.5250000000000057	47.56666666666666
26	France	Normandie	3246548.0	0.569047619047609	49.289200991876754	0.008333333333325754	49.008333333333326
27	France	Nouvelle-Aquitaine	5542448.0	-0.11745495495495106	45.05311054540614	0.6333333333333258	42.449999999999996
28	France	Occitanie	5230123.0	2.1567567567567494	43.609272524623826	2.208333333333343	42.36666666666666
29	France	Pays de la Loire	3409550.0	-1.7015873015872955	47.29457475994512	-1.0416666666666572	45.783333333333324
30	France	Provence-Alpes-Côte d'Azur	4614863.0	5.449301448093024	43.52751550885074	6.083333333333343	42.199999999999996
31	Portugal	Aveiro	722828.0	-8.476712577020663	40.837457044673535	-8.525000000000006	40.54999999999999
32	Portugal	Azores	206313.0	-25.5129365079365	37.829110822885134	-28.633333333333326	38.408333333333324
33	Portugal	Beja	155396.0	-8.18663471778487	37.955717682663206	-8.433333333333337	37.71666666666666
34	Portugal	Braga	843078.0	-8.474661835748805	41.50220603466132	-8.35833333333332	40.86666666666666
35	Portugal	Bragança	141447.0	-7.1257843137254895	41.511973032940766	-6.85833333333332	41.533333333333324
36	Portugal	Castelo Branco	201304.0	-7.480377492877494	40.0322965879265	-7.816666666666663	39.46666666666666
37	Portugal	Coimbra	433775.0	-8.41875965400061	40.20707704151121	-8.383333333333326	39.74999999999999
38	Portugal	Évora	169433.0	-7.921780303030289	38.604510556621875	-8.175000000000011	38.12499999999999
39	Portugal	Faro	398428.0	-8.092729083665347	37.124169032996534	-8.208333333333343	36.58333333333333
40	Portugal	Guarda	169129.0	-7.253298703605054	40.54375694113913	-7.241666666666674	40.574999999999996
41	Portugal	Leiria	460375.0	-8.826398601398608	39.71225548664121	-8.816666666666663	39.55833333333333
42	Portugal	Lisboa	2142168.0	-9.227833315417968	38.77047143699531	-9.183333333333337	38.68333333333333
43	Portugal	Madeira	236065.0	-16.935368497109806	32.668673260774504	-16.96666666666667	32.508333333333326
44	Portugal	Portalegre	122375.0	-8.00801526717558	39.22494543650793	-7.458333333333343	39.16666666666666
45	Portugal	Porto	1821118.0	-8.583092100885068	41.18939580298007	-8.308333333333337	40.96666666666666
46	Portugal	Santarém	454792.0	-8.507348804500708	39.4336630078512	-8.633333333333326	39.10833333333333
47	Portugal	Setúbal	786797.0	-9.123930157892431	38.629363058996425	-8.491666666666674	38.383333333333326
48	Portugal	Viana do Castelo	250111.0	-8.543218390804611	41.79005329245145	-8.441666666666663	41.48333333333333
49	Portugal	Vila Real	210711.0	-7.890162907268149	41.41124152321335	-7.716666666666669	41.508333333333326
50	Portugal	Viseu	388050.0	-7.914397905759159	40.701146733909695	-7.98333333333332	40.30833333333333
