from_loc,to_loc,from_pop,from_x,from_y,to_pop,to_x,to_y,euc_dist,predict_model
165,133,76679.33,-5.73,8.29,82566.05,-5.28,6.14,2.196588264,34.18455028
165,91,76679.33,-5.73,8.29,43006.12,-3.33,6.06,3.276110499,11.15977117
165,130,76679.33,-5.73,8.29,385132.7,-5.25,5.89,2.447529367,96.7646052
165,137,76679.33,-5.73,8.29,96485.43,-3.31,5.23,3.901281841,16.09801959
165,136,76679.33,-5.73,8.29,165484.2,-3.26,5.47,3.748773133,26.09324588
165,135,76679.33,-5.73,8.29,36767.6,-5.64,6.1,2.191848535,18.20877933
165,134,76679.33,-5.73,8.29,153584.7,-5.74,5.78,2.51001992,45.34702052
165,139,76679.33,-5.73,8.29,104242.5,-2.95,5.46,3.967026594,16.67249403
165,24,76679.33,-5.73,8.29,11502.49,-6.09,5.58,2.73380687,5.237388659
165,25,76679.33,-5.73,8.29,29278.96,-6.11,5.26,3.053735417,9.193350041
165,26,76679.33,-5.73,8.29,43587.32,-6.94,6.12,2.484552274,17.18653052
165,20,76679.33,-5.73,8.29,22867.66,-7.86,8.2,2.131900561,13.09809337
165,21,76679.33,-5.73,8.29,54735.31,-7.6,8.15,1.875233319,31.53129365
165,22,76679.33,-5.73,8.29,33294.96,-7.02,4.84,3.683286576,7.641127599
165,23,76679.33,-5.73,8.29,139440.1,-6.68,5.11,3.31887029,27.47297961
165,160,76679.33,-5.73,8.29,62187.94,-6.34,8.84,0.821340368,122.5465709
165,28,76679.33,-5.73,8.29,66246.98,-6.75,5.6,2.876890683,19.07574567
165,29,76679.33,-5.73,8.29,89954.83,-6.44,5.82,2.570019455,28.77989456
165,161,76679.33,-5.73,8.29,19423.17,-6.1,7.78,0.63007936,73.81316461
165,0,76679.33,-5.73,8.29,177110.9,-7.48,7.03,2.156409052,63.8928658
165,96,76679.33,-5.73,8.29,92083.86,-4.36,6.41,2.32622011,34.11767184
165,121,76679.33,-5.73,8.29,312802.5,-5.67,9.58,1.291394595,217.7696116
165,122,76679.33,-5.73,8.29,45401.93,-5.93,10.05,1.771327186,29.71033776
165,123,76679.33,-5.73,8.29,46936.44,-5.57,9.08,0.806039701,101.1820689
165,124,76679.33,-5.73,8.29,29752.73,-5.99,9.62,1.355175265,32.09387662
165,125,76679.33,-5.73,8.29,51637.75,-5.4,9.53,1.283160161,53.69689547
165,126,76679.33,-5.73,8.29,39109.96,-6.1,9.15,0.936215787,69.83149306
165,128,76679.33,-5.73,8.29,11645.67,-6.27,10.36,2.139275578,7.683482394
165,129,76679.33,-5.73,8.29,77914.33,-6.46,10.47,2.298978034,30.4773992
165,59,76679.33,-5.73,8.29,104006.8,-6.25,6.48,1.883215336,51.7766303
165,58,76679.33,-5.73,8.29,197775,-6.67,6.47,2.048414021,75.32749019
165,132,76679.33,-5.73,8.29,143951.1,-5.28,5.46,2.865554048,35.22813457
165,55,76679.33,-5.73,8.29,395874.9,-6.43,6.87,1.583161394,191.9947028
165,54,76679.33,-5.73,8.29,93927.6,-6.24,7.1,1.294681428,84.60417194
165,57,76679.33,-5.73,8.29,82990.04,-6.87,6.84,1.844478246,44.78733015
165,51,76679.33,-5.73,8.29,113507.5,-5.92,6.37,1.929378138,53.43481135
165,50,76679.33,-5.73,8.29,90195.81,-6.25,6.16,2.192555587,36.7356736
165,53,76679.33,-5.73,8.29,146583.1,-5.46,6.44,1.869598887,68.4808158
165,52,76679.33,-5.73,8.29,87625.7,-5.62,6.28,2.0130077,40.90589578
165,115,76679.33,-5.73,8.29,53802.13,-5.63,10.26,1.972536438,28.80243534
165,117,76679.33,-5.73,8.29,29793.3,-5.84,8.86,0.580517011,116.8833882
165,116,76679.33,-5.73,8.29,62196.93,-5.16,10.04,1.840489065,35.85530675
165,111,76679.33,-5.73,8.29,41544.74,-5.44,9.99,1.724557914,28.86903564
165,110,76679.33,-5.73,8.29,41842.93,-6.4,10.08,1.911282292,24.82276855
165,112,76679.33,-5.73,8.29,143865.5,-5.06,9.72,1.579177001,87.27630894
165,82,76679.33,-5.73,8.29,216398.9,-5.76,6.65,1.640274367,113.3829971
165,83,76679.33,-5.73,8.29,48603.27,-5.83,7.55,0.746726188,116.8241801
165,80,76679.33,-5.73,8.29,92234.84,-6.04,6.9,1.424148869,72.13647921
165,81,76679.33,-5.73,8.29,207958.1,-5.72,7.06,1.23004065,170.3876989
165,118,76679.33,-5.73,8.29,14088.5,-5.77,9.22,0.930859818,31.68080602
165,84,76679.33,-5.73,8.29,136688.6,-6.12,7.44,0.935200513,186.2532234
165,85,76679.33,-5.73,8.29,188767.6,-7.27,6.73,2.192076641,65.50356843
165,7,76679.33,-5.73,8.29,151943.5,-3.73,6.08,2.980620741,34.61067962
165,108,76679.33,-5.73,8.29,26149.7,-6.22,9.84,1.625607579,21.98723113
165,109,76679.33,-5.73,8.29,41837.11,-6.65,9.83,1.79387848,27.33653735
165,102,76679.33,-5.73,8.29,128769.2,-4.73,6.76,1.827812901,64.04440739
165,103,76679.33,-5.73,8.29,21585.3,-4.63,7.23,1.527612516,20.80185903
165,100,76679.33,-5.73,8.29,53922.59,-4.2,7.3,1.822361106,32.55204482
165,101,76679.33,-5.73,8.29,109209.3,-4.39,6.99,1.866976165,54.5072454
165,106,76679.33,-5.73,8.29,88771.25,-6.5,9.39,1.342721118,76.57665048
165,107,76679.33,-5.73,8.29,31365.44,-6.55,9.97,1.869438418,20.48937104
165,104,76679.33,-5.73,8.29,79288.18,-4.33,7.59,1.565247584,55.49387162
165,31,76679.33,-5.73,8.29,25969.13,-7.42,4.59,4.067689762,5.407747726
165,30,76679.33,-5.73,8.29,25867.03,-7.28,5.19,3.465905365,6.880144905
165,36,76679.33,-5.73,8.29,36784.82,-7,9.67,1.875446613,23.09827817
165,34,76679.33,-5.73,8.29,31764.27,-7.05,10.1,2.240200884,15.70815283
