bibkey,country,data_category,data_start,data_end,data_spatial_resolution,data_available,data_sample_size,datasource_type
silal2015hitting,ZAF,estimated,2002,2008,province,no,NA,incidence
gustafson2017identifying,SLE,estimated,NA,NA,adm3,no,NA,genomic
dudas2017virus,LBR,estimated,march 2014,october 2015,adm1,no,NA,genomic
dudas2017virus,SLE,estimated,march 2014,october 2015,adm2,no,NA,genomic
dudas2017virus,GIN,estimated,march 2014,october 2015,adm2,no,NA,genomic
lu2013approaching,CIV,empirical,december 2011,april 2012,subprefecture,no,NA,cdr
huang2013open,DZA,estimated,2010,2010,large_city,yes,NA,flight_capacity
huang2013open,AGO,estimated,2010,2010,large_city,yes,NA,flight_capacity
huang2013open,BEN,estimated,2010,2010,large_city,yes,NA,flight_capacity
huang2013open,BWA,estimated,2010,2010,large_city,yes,NA,flight_capacity
huang2013open,BFA,estimated,2010,2010,large_city,yes,NA,flight_capacity
huang2013open,BDI,estimated,2010,2010,large_city,yes,NA,flight_capacity
huang2013open,CMR,estimated,2010,2010,large_city,yes,NA,flight_capacity
huang2013open,CPV,estimated,2010,2010,large_city,yes,NA,flight_capacity
huang2013open,CAF,estimated,2010,2010,large_city,yes,NA,flight_capacity
huang2013open,TCD,estimated,2010,2010,large_city,yes,NA,flight_capacity
huang2013open,COM,estimated,2010,2010,large_city,yes,NA,flight_capacity
huang2013open,COG,estimated,2010,2010,large_city,yes,NA,flight_capacity
huang2013open,CIV,estimated,2010,2010,large_city,yes,NA,flight_capacity
huang2013open,COD,estimated,2010,2010,large_city,yes,NA,flight_capacity
huang2013open,DJI,estimated,2010,2010,large_city,yes,NA,flight_capacity
huang2013open,EGY,estimated,2010,2010,large_city,yes,NA,flight_capacity
huang2013open,GNQ,estimated,2010,2010,large_city,yes,NA,flight_capacity
huang2013open,ERI,estimated,2010,2010,large_city,yes,NA,flight_capacity
huang2013open,ETH,estimated,2010,2010,large_city,yes,NA,flight_capacity
huang2013open,GAB,estimated,2010,2010,large_city,yes,NA,flight_capacity
huang2013open,GMB,estimated,2010,2010,large_city,yes,NA,flight_capacity
huang2013open,GHA,estimated,2010,2010,large_city,yes,NA,flight_capacity
huang2013open,GIN,estimated,2010,2010,large_city,yes,NA,flight_capacity
huang2013open,GNB,estimated,2010,2010,large_city,yes,NA,flight_capacity
huang2013open,KEN,estimated,2010,2010,large_city,yes,NA,flight_capacity
huang2013open,LSO,estimated,2010,2010,large_city,yes,NA,flight_capacity
huang2013open,LBR,estimated,2010,2010,large_city,yes,NA,flight_capacity
huang2013open,LBY,estimated,2010,2010,large_city,yes,NA,flight_capacity
