Unit	N0	N1	N2	Pop	Pop_Cent_Lon	Pop_Cent_Lat	Area_Cent_Lon	Area_Cent_Lat
0	Spain	Andalucía	Almería	575292.0	-2.4458642373427892	36.849585491255716	-2.3666666666666742	36.61666666666666
1	Spain	Andalucía	Cádiz	1084826.0	-6.242345309381221	36.53252008176432	-5.849999999999994	36.46666666666666
2	Spain	Andalucía	Córdoba	785696.0	-4.791494301392987	37.86247448400997	-4.89166666666668	37.783333333333324
3	Spain	Andalucía	Granada	869997.0	-3.609285714285704	37.17745557681793	-3.458333333333343	36.80833333333333
4	Spain	Andalucía	Huelva	475272.0	-6.9402349084949435	37.28147419865405	-6.949999999999989	36.59166666666666
5	Spain	Andalucía	Jaén	657815.0	-3.732014652014641	37.94602345965455	-3.441666666666663	36.89166666666666
6	Spain	Andalucía	Málaga	1267904.0	-4.464935911766901	36.7153382894837	-4.558333333333337	36.04166666666666
7	Spain	Andalucía	Sevilla	1846458.0	-5.973291705033773	37.37625888680148	-5.60833333333332	37.283333333333324
8	Spain	Aragón	Huesca	217656.0	-0.3841503267973678	42.116483160621755	-0.04166666666665719	42.11666666666666
9	Spain	Aragón	Teruel	140396.0	-0.831687242798381	40.803836975634255	-0.875	40.06666666666666
10	Spain	Aragón	Zaragoza	929472.0	-0.8924318071115636	41.65156134239026	-1.0666666666666629	40.92499999999999
11	Spain	Cantabria	Cantabria	538838.0	-3.798037542662115	43.39908165961945	-4.083333333333343	42.01666666666666
12	Spain	Castilla-La Mancha	Albacete	385910.0	-1.8593507672001408	38.99274542013355	-1.8499999999999943	38.849999999999994
13	Spain	Castilla-La Mancha	Ciudad Real	508348.0	-3.9275992834819533	38.983229104200575	-3.8499999999999943	38.06666666666666
14	Spain	Castilla-La Mancha	Cuenca	209542.0	-2.6488888888888766	39.87544642857142	-2.14166666666668	38.33333333333333
15	Spain	Castilla-La Mancha	Guadalajara	220735.0	-3.1726936397984957	40.63246855345911	-2.558333333333337	39.224999999999994
16	Spain	Castilla-La Mancha	Toledo	637949.0	-4.559897360703815	39.94579929791399	-4.150000000000006	39.48333333333333
17	Spain	Castilla y León	Ávila	167591.0	-4.693106954046357	40.64229737609329	-4.883333333333326	40.33333333333333
18	Spain	Castilla y León	Burgos	360700.0	-3.6721314337593185	42.35236536041314	-3.691666666666663	41.474999999999994
19	Spain	Castilla y León	León	492029.0	-5.587276648182382	42.58702129791575	-5.974999999999994	42.21666666666666
20	Spain	Castilla y León	Palencia	171985.0	-4.533268261964736	42.016809733616924	-4.60833333333332	41.95833333333333
21	Spain	Castilla y León	Salamanca	348638.0	-5.673778347732167	40.95755479418768	-5.98333333333332	39.86666666666666
22	Spain	Castilla y León	Segovia	157340.0	-4.113389679715311	40.956417791322	-4.050000000000011	40.658333333333324
23	Spain	Castilla y León	Soria	94670.0	-2.476136796042624	41.76763344113663	-2.6750000000000114	40.16666666666666
24	Spain	Castilla y León	Valladolid	518547.0	-4.733248345777952	41.62813452626384	-4.675000000000011	41.31666666666666
25	Spain	Castilla y León	Zamora	194309.0	-5.736385793871847	41.524061113224285	-5.98333333333332	41.70833333333333
26	Spain	Cataluña	Barcelona	4925100.0	2.199546622875914	41.44246763672371	2.083333333333343	41.24999999999999
27	Spain	Cataluña	Girona	633658.0	2.810923017052289	41.97977946696696	2.60833333333332	41.80833333333333
28	Spain	Cataluña	Lleida	406629.0	0.9538461538461718	41.647631817592945	1.14166666666668	41.84166666666666
29	Spain	Cataluña	Tarragona	652696.0	1.222902606854575	41.13565988817518	0.7416666666666742	40.949999999999996
30	Spain	Ceuta y Melilla	Ceuta	52984.0	-5.328619417368799	35.8933636415017	-5.341666666666669	35.87499999999999
31	Spain	Ceuta y Melilla	Melilla	63603.0	-2.945385328389847	35.29534253425342	-2.9499999999999886	35.29166666666666
32	Spain	Comunidad de Madrid	Madrid	5999299.0	-3.660054087361374	40.4185706726919	-3.76666666666668	39.91666666666666
33	Spain	Comunidad Foral de Navarra	Navarra	607034.0	-1.6649757232449929	42.80468197476786	-1.5999999999999943	41.60833333333333
