Unit	N0	N1	N2	N3	Pop	Pop_Cent_Lon	Pop_Cent_Lat	Area_Cent_Lon	Area_Cent_Lat
0	Spain	Andalucía	Almería	n.a. (15)	49500.0	-2.270092838196291	37.36308351568198	-2.333333333333343	37.24999999999999
1	Spain	Andalucía	Almería	n.a. (16)	10685.0	-2.1410714285714505	37.118541666666665	-2.2583333333333258	36.74999999999999
2	Spain	Andalucía	Almería	n.a. (17)	8324.0	-2.77815315315317	37.14751461988303	-2.7166666666666686	37.02499999999999
3	Spain	Andalucía	Almería	n.a. (18)	12489.0	-2.6999999999999886	36.98220294426918	-2.791666666666657	36.86666666666666
4	Spain	Andalucía	Almería	n.a. (19)	221100.0	-2.431434255742431	36.853578944062306	-2.2750000000000057	36.849999999999994
5	Spain	Andalucía	Almería	n.a. (20)	196757.0	-2.802113641155387	36.77110658312132	-2.833333333333343	36.58333333333333
6	Spain	Andalucía	Almería	n.a. (21)	65408.0	-1.8807017543859672	37.275588496557845	-1.85833333333332	37.14166666666666
7	Spain	Andalucía	Almería	n.a. (22)	11029.0	-2.0750807754442633	37.64896192528735	-2.1750000000000114	37.52499999999999
8	Spain	Andalucía	Cádiz	Bahía de Cádiz	358537.0	-6.2667749667879775	36.495468708856315	-6.10833333333332	36.34166666666666
9	Spain	Andalucía	Cádiz	Campiña de Jerez	207183.0	-6.1267624396918166	36.6893192526226	-5.925000000000011	36.52499999999999
10	Spain	Andalucía	Cádiz	Campo de Gibraltar	211347.0	-5.3542322415993056	36.159882956084346	-5.541666666666657	36.08333333333333
11	Spain	Andalucía	Cádiz	Costa Noroeste	113223.0	-6.353706884213523	36.76410157007171	-6.324999999999989	36.77499999999999
12	Spain	Andalucía	Cádiz	La Janda	80305.0	-6.082154528478043	36.3071324979696	-5.800000000000011	36.02499999999999
13	Spain	Andalucía	Cádiz	Sierra de Cádiz	114231.0	-5.587239583333343	36.80715238857752	-5.60833333333332	36.26666666666666
14	Spain	Andalucía	Córdoba	Campiña Sur	103922.0	-4.674218749999994	37.54217902350813	-4.741666666666674	37.508333333333326
15	Spain	Andalucía	Córdoba	n.a. (86)	75972.0	-4.849537348586807	38.375356058837255	-4.966666666666669	37.883333333333326
16	Spain	Andalucía	Córdoba	n.a. (87)	28533.0	-4.45128205128205	38.025907563935846	-4.89166666666668	37.93333333333333
17	Spain	Andalucía	Córdoba	n.a. (88)	377878.0	-4.778300750232717	37.888577050837654	-4.73333333333332	37.52499999999999
18	Spain	Andalucía	Córdoba	n.a. (89)	21944.0	-5.276745265503138	37.70134215542846	-5.275000000000006	37.49999999999999
19	Spain	Andalucía	Córdoba	n.a. (90)	27461.0	-4.932783882783895	37.699601010101	-5.008333333333326	37.54999999999999
20	Spain	Andalucía	Córdoba	n.a. (91)	101580.0	-4.486153846153826	37.443918490326666	-4.466666666666669	37.39166666666666
21	Spain	Andalucía	Córdoba	n.a. (92)	48406.0	-4.19848672019765	37.43769979152189	-4.191666666666663	37.21666666666666
22	Spain	Andalucía	Granada	n.a. (109)	16075.0	-2.540815324165038	37.8102229220699	-2.566666666666663	37.70833333333333
23	Spain	Andalucía	Granada	n.a. (110)	22656.0	-3.9803571428571445	37.31031125421649	-3.9916666666666742	37.09166666666666
24	Spain	Andalucía	Granada	n.a. (111)	39279.0	-2.7687308868501646	37.50163628831814	-2.6583333333333314	37.04999999999999
25	Spain	Andalucía	Granada	n.a. (112)	42618.0	-3.1498912452419745	37.31069745919569	-3.125	37.033333333333324
26	Spain	Andalucía	Granada	n.a. (113)	554202.0	-3.6097404887881055	37.18089066436133	-3.808333333333337	36.67499999999999
27	Spain	Andalucía	Granada	n.a. (114)	17214.0	-3.9886925795053116	37.013531669865635	-4.0	36.849999999999994
28	Spain	Andalucía	Granada	n.a. (115)	22224.0	-3.5694497455470753	36.99815802845527	-3.6166666666666742	36.87499999999999
29	Spain	Andalucía	Granada	n.a. (116)	108452.0	-3.5247457394172557	36.7475736924532	-3.4666666666666686	36.39999999999999
30	Spain	Andalucía	Granada	n.a. (117)	23299.0	-3.382894736842104	36.92909254962618	-3.2583333333333258	36.79166666666666
31	Spain	Andalucía	Granada	n.a. (118)	23978.0	-3.566666666666663	37.468060569594854	-3.4916666666666742	37.27499999999999
32	Spain	Andalucía	Huelva	n.a. (133)	38258.0	-6.7271557271557185	37.91431248198327	-6.708333333333343	37.77499999999999
33	Spain	Andalucía	Huelva	n.a. (134)	45760.0	-7.342115097159933	37.30809826046073	-7.241666666666674	37.56666666666666
34	Spain	Andalucía	Huelva	n.a. (135)	32058.0	-6.875479233226855	37.6546803652968	-6.775000000000006	37.19166666666666
35	Spain	Andalucía	Huelva	n.a. (136)	224450.0	-6.943212564862847	37.265054196604666	-7.066666666666663	37.29166666666666
36	Spain	Andalucía	Huelva	n.a. (137)	58765.0	-6.8928030303030425	37.20767029592406	-6.625	36.85833333333333
37	Spain	Andalucía	Huelva	n.a. (138)	75981.0	-6.5428571428571445	37.35782293271699	-6.591666666666669	37.283333333333324
38	Spain	Andalucía	Jaén	Alto Guadalquivir	33565.0	-3.118440315315297	37.90941584422512	-3.01666666666668	37.73333333333333
39	Spain	Andalucía	Jaén	Área metropolitana de Jaén	222175.0	-3.7907941852386386	37.781163835251384	-3.941666666666663	37.71666666666666
40	Spain	Andalucía	Jaén	Campiña	66515.0	-4.050209578353247	38.03529265528883	-4.058333333333337	38.11666666666666
41	Spain	Andalucía	Jaén	El Condado	23865.0	-3.375	38.230570175438594	-3.2249999999999943	38.24166666666666
42	Spain	Andalucía	Jaén	Lalomay Lasvillas	99527.0	-3.3654361598440516	38.027653755868535	-3.25	38.01666666666666
43	Spain	Andalucía	Jaén	Sierra De Segura	25937.0	-2.883428030303037	38.31927416895394	-2.7166666666666686	37.74999999999999
44	Spain	Andalucía	Jaén	Sierra Magina	40809.0	-3.45208333333332	37.750788690476185	-3.4499999999999886	37.474999999999994
45	Spain	Andalucía	Jaén	Sierra Norte	101753.0	-3.637647593097171	38.10067385921471	-3.691666666666663	37.98333333333333
46	Spain	Andalucía	Jaén	Sierra Sur	43669.0	-3.9122395833333314	37.48989877981142	-3.9250000000000114	37.48333333333333
47	Spain	Andalucía	Málaga	n.a. (181)	156357.0	-4.025975609756102	36.760894021091836	-4.033333333333331	36.46666666666666
48	Spain	Andalucía	Málaga	n.a. (182)	116727.0	-4.539358372456974	37.03780611939404	-4.691666666666663	36.64166666666666
49	Spain	Andalucía	Málaga	n.a. (183)	52085.0	-5.158477207330009	36.75037243488555	-5.175000000000011	36.69166666666666
50	Spain	Andalucía	Málaga	n.a. (184)	942735.0	-4.474895630392439	36.68535841741764	-4.75	36.64999999999999
51	Spain	Andalucía	Sevilla	n.a. (226)	57606.0	-6.014814814814798	37.69980759980759	-5.741666666666674	37.19166666666666
52	Spain	Andalucía	Sevilla	n.a. (227)	388137.0	-5.835540898686901	37.33890188150731	-5.449999999999989	36.80833333333333
53	Spain	Andalucía	Sevilla	n.a. (228)	1013571.0	-5.963083936553147	37.386738710868634	-5.824999999999989	37.24166666666666
54	Spain	Andalucía	Sevilla	n.a. (229)	252605.0	-6.064145893256608	37.37547146275647	-6.191666666666663	37.24166666666666
55	Spain	Andalucía	Sevilla	n.a. (230)	25754.0	-6.303685897435912	37.243660778015695	-6.191666666666663	37.10833333333333
56	Spain	Andalucía	Sevilla	n.a. (231)	46190.0	-4.8710835509138235	37.29298532952573	-4.841666666666669	37.283333333333324
57	Spain	Andalucía	Sevilla	n.a. (232)	62595.0	-5.455271659324524	37.120644327695196	-5.275000000000006	37.074999999999996
