bibkey,location,country,long,lat
lu2013approaching,Abidjan-Ville,CIV,-4.011843833438259,5.3465984690624015
lu2013approaching,Anyama,CIV,-4.022146496555708,5.519335245076382
lu2013approaching,Bingerville,CIV,-3.84612971642469,5.342548597517343
lu2013approaching,Songon,CIV,-4.233542937817062,5.416850448313632
lu2013approaching,Fresco,CIV,-5.646673103671374,5.302718250819538
lu2013approaching,Sassandra,CIV,-6.114380591521089,5.257709283796456
lu2013approaching,Buyo,CIV,-7.005134451410506,6.260269449480015
lu2013approaching,Dapéoua,CIV,-6.872618249494407,5.986068721497706
lu2013approaching,Gueyo,CIV,-6.085606564669262,5.583733278567778
lu2013approaching,Méagui,CIV,-6.560725626334456,5.420729570146725
lu2013approaching,Gnamangui,CIV,-6.708428151826163,5.551205349568327
lu2013approaching,Gnamangui,CIV,-6.849164501099074,5.700618258944065
lu2013approaching,Grand-Zattry,CIV,-6.588217568224843,6.140649011002611
lu2013approaching,Soubre,CIV,-6.441082962550027,5.81542856304093
lu2013approaching,Grand-Bereby,CIV,-7.01733994428889,4.8426563031352
lu2013approaching,San-Pedro,CIV,-6.67772126322428,5.105780606533805
lu2013approaching,Grabo,CIV,-7.2757219916275515,5.187706546236675
lu2013approaching,Tabou,CIV,-7.415370656987664,4.5925238657734795
lu2013approaching,Abengourou,CIV,-3.502028767074366,6.6668844425788265
lu2013approaching,Niable,CIV,-3.30980084968121,6.672433495462293
lu2013approaching,Agnibilekro,CIV,-3.346878296270681,7.101372076152729
lu2013approaching,Bettie,CIV,-3.3340884584751342,6.0627801639135654
lu2013approaching,Aboisso,CIV,-3.264243304106172,5.473736004068678
lu2013approaching,Adiake,CIV,-3.309615771863874,5.225579870551654
lu2013approaching,Ayame,CIV,-3.1947907849983324,5.830601949192293
lu2013approaching,Bonoua,CIV,-3.531509988848776,5.418798256095262
lu2013approaching,Grand-Bassam,CIV,-3.7638568531766765,5.2351788471192915
lu2013approaching,Mafere,CIV,-2.9527988097189852,5.458630475024202
lu2013approaching,Tiapoum,CIV,-2.9312811203028155,5.216710125227782
lu2013approaching,Goulia,CIV,-7.050679948540816,10.104071008973202
lu2013approaching,Kaniasso,CIV,-7.482460705551287,9.872678129298087
lu2013approaching,Minignan,CIV,-7.839754608995748,10.054273467698696
lu2013approaching,Tienko,CIV,-7.514177232266571,10.264530386551964
lu2013approaching,Gbeleban,CIV,-8.089311581962995,9.585748773535634
lu2013approaching,Madinani,CIV,-7.003604057465215,9.665933748464449
lu2013approaching,Seguelon,CIV,-6.921622329150495,9.16319944359343
lu2013approaching,Bako,CIV,-7.580012205184166,9.094685134707937
lu2013approaching,Dioulatiedougou,CIV,-7.272731161684348,9.03655642684759
lu2013approaching,Odienné,CIV,-7.7202161198890735,9.636690736332165
lu2013approaching,Seydougou,CIV,-7.947397635374975,9.50221245407113
lu2013approaching,Tieme,CIV,-7.340686897094621,9.512638363672592
lu2013approaching,Samatiguila,CIV,-7.604418566195508,9.872274083429096
lu2013approaching,Gbongaha,CIV,-7.16649582592652,9.347660474505961
lu2013approaching,Gagnoa,CIV,-5.9965376800464965,5.983402616212081
lu2013approaching,Guiberoua,CIV,-6.249974742846701,6.155430587375721
lu2013approaching,Ouragahio,CIV,-5.917821309326018,6.365084072214458
lu2013approaching,Diegonefla,CIV,-5.620329581112994,6.284868386057124
lu2013approaching,Oumé,CIV,-5.460406358787672,6.436770839859729
lu2013approaching,Divo,CIV,-5.246953227194277,5.892843859932298
lu2013approaching,Hire,CIV,-5.278819659919801,6.137859707935462
lu2013approaching,Guitry,CIV,-5.284798574845268,5.464900320922454
lu2013approaching,Lakota,CIV,-5.739201983049917,5.77834380763681
lu2013approaching,Zikisso,CIV,-5.642743239111834,6.102192326684257
lu2013approaching,Didievi,CIV,-4.881952604855805,7.22423696104262
lu2013approaching,Tie-N'diekro,CIV,-4.806454765382034,7.450660830119512
lu2013approaching,Kokoumbo,CIV,-5.1805147203115665,6.470931374594625
lu2013approaching,Tiebissou,CIV,-5.188225761522157,7.135828003260654
lu2013approaching,Toumodi,CIV,-4.937584416355139,6.499824801264158
lu2013approaching,Daoukro,CIV,-3.930592632417426,7.090890331561049
lu2013approaching,Ettrokro,CIV,-3.7166159336409152,7.3104993033862025
lu2013approaching,Ouelle,CIV,-4.20230459035345,7.295018849205671
lu2013approaching,M'Bahiakro,CIV,-4.3285040556039,7.589086587442948
lu2013approaching,Prikro,CIV,-3.950769034446563,7.697661249888223
lu2013approaching,Arrah,CIV,-3.9251800941921604,6.767738676191535
lu2013approaching,Bongouanou,CIV,-4.214626075922988,6.707627969989322
lu2013approaching,M'batto,CIV,-4.358180052777961,6.412241314276731
lu2013approaching,Tiemelekro,CIV,-4.6255627046803784,6.4404876613057365
lu2013approaching,Bocanda,CIV,-4.388468492716719,6.991079307567278
lu2013approaching,Dimbokro,CIV,-4.733062182941516,6.764609029332431
